caseID,personID,Age,Sex
MP20008840,3921,14,MALE
MP20009484,3921,14,MALE
MP20000624,2745,39,MALE
MP20009646,3092,32,FEMALE
MP20010144,2705,40,MALE
MP20007705,3154,31,MALE
MP20007166,3430,26,MALE
MP20008585,3918,14,MALE
MP20008722,3221,30,MALE
MP20000356,2417,50,MALE
MP20007215,3105,32,FEMALE
MP20003097,2825,38,FEMALE
MP20007532,3284,29,MALE
MP20004206,2833,37,FEMALE
MP20001529,3793,19,MALE
MP20008585,3849,17,MALE
MP20001529,3007,33,MALE
MP20003234,3251,29,MALE
MP20003234,3252,29,MALE
MP20003267,3438,26,FEMALE
MP20005112,2915,36,MALE
MP20007740,2890,36,MALE
MP20002108,2858,37,MALE
MP20001212,3734,20,MALE
MP20009631,3104,32,MALE
MP20001296,3193,30,MALE
MP19037614,3113,31,MALE
MP20007896,5454,30,MALE
MP20007896,5454,26,MALE
MP20001624,2781,39,MALE
MP20004452,2314,54,FEMALE
MP20002136,3487,25,MALE
MP20004840,3133,31,MALE
MP20009894,3265,29,FEMALE
MP20007065,3263,29,MALE
MP19037499,2791,38,MALE
MP20010245,3267,29,MALE
MP20009665,3301,29,MALE
MP20000006,3512,24,MALE
MP20008159,3881,16,MALE
MP20007032,2804,37,MALE
MP20002879,3345,28,MALE
MP20002418,3186,31,MALE
MP20009484,3802,18,MALE
MP20006822,3391,27,MALE
MP20007605,3799,18,MALE
MP20002919,2364,52,MALE
MP20000795,3916,14,MALE
MP20002149,3481,25,FEMALE
MP20002496,3775,19,MALE
MP20008808,2900,36,MALE
MP20001826,3276,29,MALE
MP20002008,3530,24,MALE
MP20009453,4048,UNKNOWN,MALE
MP20010400,3554,24,MALE
MP20003943,2311,54,MALE
MP20007805,2311,54,MALE
MP20010209,2664,42,MALE
MP20001401,3732,20,MALE
MP20001049,2286,55,MALE
MP20001777,3116,32,MALE
MP20002193,3116,32,MALE
MP20002230,3116,32,MALE
MP20001081,3527,24,FEMALE
MP20000175,3177,30,MALE
MP20010391,3888,16,MALE
MP20004878,3461,25,MALE
MP20008292,3694,21,MALE
MP20000769,2507,46,MALE
MP20007821,3332,28,FEMALE
MP20000182,3520,24,MALE
MP20001529,3823,18,MALE
MP20002700,3630,22,FEMALE
MP20004011,3491,25,MALE
MP20009496,3017,33,MALE
MP20010177,3594,23,MALE
MP20004936,3657,21,MALE
MP20006628,2958,35,MALE
MP20006781,2958,35,MALE
MP20000767,3580,23,FEMALE
MP20004925,2859,37,MALE
MP20000949,2615,43,FEMALE
MP20003719,2603,43,MALE
MP20002225,2213,60,FEMALE
MP20001798,2754,39,MALE
MP20000283,3281,29,MALE
MP20007831,3420,27,MALE
MP20000006,3875,16,MALE
MP20006082,3904,15,MALE
MP20009021,2199,60,MALE
MP20001556,2419,49,FEMALE
MP20000390,3932,12,MALE
MP20006472,3932,12,MALE
MP20006481,3932,12,MALE
MP20004756,2270,56,MALE
MP20007036,3242,30,MALE
MP20008113,2886,36,MALE
MP20008113,2998,34,FEMALE
MP20002630,3872,16,FEMALE
MP20005716,2955,35,MALE
MP20008125,3747,20,FEMALE
MP20009647,3589,23,FEMALE
MP20002630,3861,16,FEMALE
MP20003425,3100,32,MALE
MP20007603,3768,19,MALE
MP20003634,2509,46,FEMALE
MP20001727,3609,22,MALE
MP20006247,3642,22,FEMALE
MP20008042,5460,27,MALE
MP20007041,3106,32,FEMALE
MP20001733,2766,39,MALE
MP20004504,2827,38,MALE
MP20006276,3850,17,MALE
MP20006973,2607,43,MALE
MP20003384,3911,14,MALE
MP20005982,4059,50,MALE
MP20007972,2780,39,FEMALE
MP20009982,3029,33,MALE
MP20005773,3728,20,MALE
MP20008752,3035,33,MALE
MP20008864,3858,17,MALE
MP20006289,2931,35,FEMALE
MP20008314,3056,33,MALE
MP20009845,3470,25,MALE
MP20009149,2930,35,MALE
MP20005222,3421,26,FEMALE
MP20001995,3900,15,MALE
MP20009648,2682,41,MALE
MP20006677,2678,41,MALE
MP20010282,2300,55,MALE
MP20005547,2908,36,MALE
MP20004580,2523,46,MALE
MP20003477,2733,40,MALE
MP20000019,3392,27,FEMALE
MP20007095,2851,37,FEMALE
MP20000323,2778,39,MALE
MP20010013,3213,30,MALE
MP20008085,2722,40,MALE
MP20002110,3679,21,FEMALE
MP20009444,3356,28,MALE
MP20004174,3041,33,FEMALE
MP20003344,3662,21,MALE
MP20004206,3662,21,MALE
MP20006617,3168,31,FEMALE
MP20009453,3885,16,FEMALE
MP20009496,3885,16,FEMALE
MP20001529,3605,22,MALE
MP20002385,3893,15,MALE
MP20008159,3822,18,MALE
MP20001529,3606,22,MALE
MP20002541,2770,39,FEMALE
MP20005101,3625,22,MALE
MP20000462,3014,33,MALE
MP20003212,3262,29,FEMALE
MP20005277,2957,35,MALE
MP20003183,3266,29,MALE
MP20002143,2379,51,MALE
MP20003822,2773,39,MALE
MP20002973,2967,34,MALE
MP20007737,3401,27,MALE
MP20008931,3401,27,MALE
MP20009484,3897,15,MALE
MP20002650,2599,43,MALE
MP20008395,3870,16,FEMALE
MP20006567,2134,65,MALE
MP20007508,3339,28,FEMALE
MP20003973,3296,29,MALE
MP20009497,5464,48,FEMALE
MP20009497,5465,39,FEMALE
MP20000058,2633,42,MALE
MP20003841,3107,32,MALE
MP20003889,3452,26,MALE
MP20007311,3119,32,MALE
MP20008022,2917,36,MALE
MP20002639,3396,27,MALE
MP20008312,2905,36,MALE
MP20000095,3902,15,MALE
MP20000095,3844,17,MALE
MP20010013,3648,22,MALE
MP20003228,3062,32,FEMALE
MP20001401,3788,19,MALE
MP20002774,5466,45,MALE
MP20002774,3789,19,MALE
MP20001401,3790,19,MALE
MP20000255,3248,29,MALE
MP20000279,4073,Unknown,MALE
MP20010089,3806,18,MALE
MP20000095,3620,22,MALE
MP20001828,2797,38,MALE
MP20002364,4075,20,MALE
MP20003634,2498,47,MALE
MP20008161,3232,30,FEMALE
MP20001682,2736,40,MALE
MP20002526,3069,32,MALE
MP20008752,2587,44,MALE
MP20009786,2937,35,FEMALE
MP20006709,3610,22,MALE
MP20006709,2513,46,FEMALE
MP20006709,2771,39,MALE
MP20010391,3898,15,FEMALE
MP20009586,2964,35,MALE
MP20008867,4080,40,MALE
MP20007003,2534,46,MALE
MP20008867,2478,47,MALE
MP20001502,3627,22,MALE
MP20010093,3627,22,MALE
MP20004245,2982,34,MALE
MP20004580,2684,41,FEMALE
MP20009586,3065,33,MALE
MP20008963,3295,29,MALE
MP20000947,2850,37,MALE
MP20006809,2694,41,MALE
MP20003733,3403,27,MALE
MP20005354,3209,30,MALE
MP20003158,3382,27,MALE
MP20000095,3619,22,MALE
MP20009942,2457,48,MALE
MP20006984,3245,30,MALE
MP20007907,3841,17,MALE
MP20000406,3683,21,MALE
MP20003215,3074,32,MALE
MP20002645,2869,37,MALE
MP20008649,2186,61,MALE
MP20000780,2531,45,MALE
MP20006410,2476,47,FEMALE
MP20007890,3049,33,MALE
MP20004779,2676,41,MALE
MP20008743,3465,25,MALE
MP20004597,3776,19,MALE
MP20008159,3878,16,MALE
MP20007124,2532,46,MALE
MP20004597,3559,23,MALE
MP20003729,2117,66,MALE
MP20007428,3587,23,MALE
MP20008877,3587,23,MALE
MP20010012,3587,23,MALE
MP20002325,3711,20,FEMALE
MP20001607,3298,29,MALE
MP20008395,3298,29,MALE
MP20003361,3843,17,MALE
MP20008147,3549,24,MALE
MP20005748,2626,43,FEMALE
MP20003923,2793,38,MALE
MP20001529,3824,18,MALE
MP20006347,2983,34,MALE
MP20002432,3912,14,MALE
MP20008265,3299,29,MALE
MP20000006,3758,19,MALE
MP20007769,3125,32,MALE
MP20000964,3703,21,MALE
MP20006276,3848,17,MALE
MP20003217,3292,29,FEMALE
MP20000782,5473,34,MALE
MP20002385,3884,16,MALE
MP20009790,2195,60,FEMALE
MP20000087,2758,39,FEMALE
MP20001502,3691,21,MALE
MP20000182,3473,25,MALE
MP20010135,3434,26,MALE
MP20004129,3603,23,FEMALE
MP20006978,2367,52,MALE
MP20005769,2114,67,FEMALE
MP20002199,2348,53,MALE
MP20008476,2160,63,MALE
MP20002364,5474,35,FEMALE
MP20010143,2560,45,MALE
MP20004851,2366,52,FEMALE
MP20008294,3022,33,FEMALE
MP20005139,2634,42,MALE
MP20008984,3479,25,MALE
MP20003289,2912,36,MALE
MP20009615,3115,32,MALE
MP20001273,3829,17,MALE
MP20009137,3550,24,MALE
MP20004763,2490,47,MALE
MP20002331,3120,31,FEMALE
MP20005395,3102,32,MALE
MP20006276,3913,14,MALE
MP20006628,2875,37,MALE
MP20006781,2875,37,MALE
MP20008149,2875,37,MALE
MP20000202,3351,28,MALE
MP20005231,3351,28,MALE
MP20008012,2862,37,MALE
MP20009098,2862,37,MALE
MP20000688,3219,30,MALE
MP20007305,3668,21,MALE
MP20001624,3314,28,MALE
MP20003851,3412,27,MALE
MP20009038,3122,32,MALE
MP20000278,2786,38,FEMALE
MP20010209,3575,23,MALE
MP20003080,5482,15,MALE
MP20006803,3273,29,MALE
MP20003545,3139,31,MALE
MP20002222,3723,20,MALE
MP20007244,3174,31,MALE
MP20008920,2472,47,MALE
MP20009674,3742,20,MALE
MP20009674,4107,UNKNOWN,MALE
MP20005342,2149,64,FEMALE
MP20000207,5483,37,MALE
MP20000207,5484,35,FEMALE
MP20010391,3857,17,MALE
MP20007431,3324,28,MALE
MP20002321,3454,25,FEMALE
MP20003644,3425,26,MALE
MP20002496,4111,Unknown,MALE
MP20008662,3571,23,FEMALE
MP20010418,3940,10,MALE
MP20007036,3241,30,MALE
MP20007036,3567,23,MALE
MP20006186,3585,23,MALE
MP20009632,3395,27,MALE
MP20007431,3513,25,MALE
MP20010195,3616,22,FEMALE
MP20003409,3000,34,MALE
MP20009230,2372,51,MALE
MP20000390,3922,14,MALE
MP20008084,2437,49,MALE
MP20008628,3400,27,FEMALE
MP20001728,3347,28,MALE
MP20009068,3379,27,MALE
MP20001737,2868,37,MALE
MP20001300,2868,37,MALE
MP20009571,3362,28,FEMALE
MP20009704,5485,34,MALE
MP20006032,2340,52,MALE
MP20001737,2606,43,MALE
MP20005608,2144,64,FEMALE
MP20005190,3471,25,MALE
MP20000205,3037,33,MALE
MP20005358,3494,25,FEMALE
MP20004524,2951,35,MALE
MP20004597,3474,25,MALE
MP20008159,3831,17,MALE
MP20008365,3203,30,MALE
MP20000360,3510,24,FEMALE
MP20010401,2329,53,MALE
MP20009492,2845,37,FEMALE
MP20006684,3781,19,MALE
MP20004466,2901,36,MALE
MP20002700,3682,21,MALE
MP20003358,3003,33,MALE
MP20010013,3791,19,MALE
MP20000088,2969,34,MALE
MP20008248,2972,34,FEMALE
MP20007534,2466,48,MALE
MP20008490,3704,21,MALE
MP20006472,3837,17,MALE
MP20006481,3837,17,MALE
MP20008752,3249,30,MALE
MP20006628,3556,24,FEMALE
MP20006781,3556,24,FEMALE
MP20001034,3323,28,MALE
MP20009646,4123,30,FEMALE
MP20008948,4125,UNKNOWN,UNKNOWN
MP20007975,2751,39,MALE
MP20000095,3800,18,MALE
MP20000181,3749,20,MALE
MP20001273,3750,20,UNKNOWN
MP20002783,3751,20,MALE
MP20000095,3752,20,MALE
MP20006664,3753,20,
MP20003851,3754,20,MALE
MP20004129,3772,19,FEMALE
MP20001273,3908,15,MALE
MP20000301,4126,,
MP20000315,4127,,
MP20000403,4128,,
MP20000469,4129,,
MP20000455,4130,13,MALE
MP20000562,4131,,
MP20000530,4132,,
MP20001054,4133,,
MP20001107,4134,UNKNOWN,
MP20001022,4135,,
MP20001126,4136,,
MP20001312,4137,,
MP20001300,4138,,
MP20002023,4139,Unknown,UNKNOWN
MP20002079,4140,,
MP20002053,4141,,
MP20002532,4142,16,
MP20002532,4143,16,MALE
MP20002532,4144,17,MALE
MP20002721,4145,,
MP20002784,4146,,
MP20003048,4147,,
MP20003048,4148,,MALE
MP20004516,4149,,
MP20004516,4150,,MALE
MP20004542,4151,,
MP20005250,4152,,
MP20005365,4153,,
MP20005392,4154,,
MP20005359,4155,,
MP20005894,4156,,MALE
MP20006388,4157,,
MP20006718,4158,UNKNOWN,MALE
MP20007085,4159,,
MP20007144,4160,,
MP20007149,4161,,
MP20007323,4162,,
MP20007094,4163,,
MP20006342,4164,,MALE
MP20006342,4165,,
MP20007494,4166,,MALE
MP20007927,4167,,
MP20008111,4168,,
MP20008169,4169,,
MP20008206,4170,,
MP20005261,4171,,
MP20008197,4172,,
MP20008606,4173,,
MP20008601,4174,,
MP20008650,4175,,
MP20008707,4176,,
MP20008822,4177,,
MP20008836,4178,,
MP20009371,4179,,
MP20009354,4180,,
MP20009525,4181,20,MALE
MP20009623,4182,,
MP20010010,4183,,UNKNOWN
MP20010095,4184,,
MP20010032,4185,,
MP20010407,4186,,
MP20000719,4187,Unknown,UNKNOWN
MP20001820,4188,,UNKNOWN
MP20002012,4189,Unknown,
MP20001807,4190,Unknown,
MP20003205,4191,Unknown,UNKNOWN
MP20005767,4192,,
MP20006342,4193,30,MALE
MP20008398,4194,Unknown,
MP20009131,4195,Unknown,
MP20010153,4196,Unknown,
MP20000772,4197,Unknown,UNKNOWN
MP20003445,4198,Unknown,UNKNOWN
MP20002136,4199,UNKNOWN,MALE
MP19037447,4200,16,MALE
MP20003746,4201,11,MALE
MP20003746,4202,,
MP20000880,4203,,
MP20004431,4204,,MALE
MP20008314,4205,,MALE
MP20007487,4206,30,MALE
MP20000299,4207,40,MALE
MP20000615,4208,,
MP20009178,4209,28,MALE
MP20008923,4210,,FEMALE
MP20007475,4211,Unknown,
MP20009143,4212,,
MP20001270,4213,19,FEMALE
MP20004431,4214,,
MP20008243,4215,,MALE
MP20007140,4216,UNKNOWN,MALE
MP20000045,4217,Unknown,MALE
MP20000035,4218,Unknown,UNKNOWN
MP19037546,4219,20,UNKNOWN
MP20000066,4220,Unknown,UNKNOWN
MP20000075,4221,,
MP19037581,4222,,
MP19037544,4223,UKNOWN,UNKNOWN
MP20000138,4224,,
MP19037553,4225,,
MP20000058,4226,Unknown,MALE
MP20000099,4227,Unknown,UNKNOWN
MP20000067,4228,UNKNOWN,MALE
MP20000278,4229,,MALE
MP20000278,4230,,FEMALE
MP19036742,4231,,UNKNOWN
MP20000481,4232,,
MP20000485,4233,,
MP20000629,4234,,
MP20000685,4235,,
MP20000567,4236,,
MP20000840,4237,,UNKNOWN
MP20000729,4238,,
MP20000344,4239,UNKNOWN,MALE
MP20000431,4240,UNKNOWN,UNKNOWN
MP20001135,4241,19,
MP20001072,4242,UNKNOWN,MALE
MP20000830,4243,Unknown,UNKNOWN
MP20001502,4244,Unknown,FEMALE
MP20001502,4245,Unknown,MALE
MP20001544,4246,Unknown,UNKNOWN
MP20001346,4247,20,MALE
MP20001121,4249,UNKNOWN,UNKNOWN
MP20001654,4250,,
MP20001640,4251,Unknown,UNKNOWN
MP20001657,4252,Unknown,MALE
MP20001764,4253,UNKONWN,UNKNOWN
MP20001761,4254,UNKNOWN,UNKNOWN
MP20001770,4255,Unknown,UNKNOWN
MP20001737,4257,UNKNOWN,UNKNOWN
MP20001768,4258,Unknown,UNKNOWN
MP20001378,4259,,
MP20001385,4260,,
MP20002116,4261,UNKNOWN,MALE
MP20002116,4262,UNKNOWN,FEMALE
MP20002152,4263,Unknown,MALE
MP20002166,4264,Unknown,UNKNOWN
MP20002160,4265,Unknown,UNKNOWN
MP20001799,4266,UNKNOWN,UNKNOWN
MP20002192,4267,UNKNOWN,UNKNOWN
MP20002313,4268,Unknown,UNKNOWN
MP20002251,4269,UNKNOWN,UNKNOWN
MP20002349,4270,,MALE
MP20002314,4271,,MALE
MP20001946,4272,,
MP20002440,4273,Unknown,UNKNOWN
MP20002504,4274,Unknown,UNKNOWN
MP20002537,4275,UNKNOWN,UNKNOWN
MP20002613,4276,,
MP20002597,4277,,MALE
MP20002598,4278,,MALE
MP20002636,4279,18,MALE
MP20002742,4280,,
MP20002777,4281,UNKNOWN,UNKNOWN
MP20002797,4282,Unknown,UNKNOWN
MP20003044,4283,30,MALE
MP20003072,4284,UNKNOWN,MALE
MP20003135,4285,Unknown,UNKNOWN
MP20003162,4286,UNKNOWN,MALE
MP20003329,4287,Unknown,MALE
MP20003386,4288,,
MP20003447,4289,,
MP20003532,4290,,
MP20003558,4291,,FEMALE
MP20003558,4292,,MALE
MP20003572,4293,,
MP20003687,4294,,
MP20003896,4295,UNKNOWN,UNKNOWN
MP20001673,4296,,MALE
MP20004145,4297,Unknown,MALE
MP20004263,4298,Unknown,UNKNOWN
MP20004205,4299,30,MALE
MP20004258,4300,Unknown,UNKNOWN
MP20004426,4302,,MALE
MP20004601,4303,,
MP20004602,4304,,
MP20004815,4305,Unknown,UNKNOWN
MP20004852,4306,30,MALE
MP20004923,4307,Unknown,
MP20004952,4308,19,MALE
MP20004939,4309,20,MALE
MP20004862,4310,,UNKNOWN
MP20004921,4311,,
MP20005032,4312,,
MP20005224,4313,Unknown,
MP20005181,4314,Unknown,UNKNOWN
MP20005172,4315,,MALE
MP20005464,4316,UNKNOWN,
MP20005667,4317,,
MP20005650,4318,,MALE
MP20005534,4319,,
MP20005698,4320,30,MALE
MP20005842,4321,,
MP20005812,4322,Unknown,UNKNOWN
MP20005951,4323,,
MP20005914,4324,Unknown,UNKNOWN
MP20005927,4325,Unknown,UNKNOWN
MP20005939,4326,UNKNOWN,UNKNOWN
MP20006056,4327,UNKNOWN,UNKNOWN
MP20006197,4328,UNKNOWN,MALE
MP20006410,4329,,
MP20006477,4330,20,MALE
MP20006628,4331,,UNKNOWN
MP20006662,4332,,
MP20006654,4333,Unknown,
MP20003368,4334,,
MP20006771,4335,,
MP20006751,4336,,
MP20005909,4337,20,
MP20006641,4338,,UNKNOWN
MP20006873,4339,Unknown,UNKNOWN
MP20006849,4340,Unknown,UNKNOWN
MP20006858,4341,Unknown,UNKNOWN
MP20006970,4342,UNKNOWN,UNKNOWN
MP20007007,4343,,UNKNOWN
MP20007008,4344,,UNKNOWN
MP20007128,4345,,FEMALE
MP20007203,4346,,
MP20007334,4347,Under 24 Hours Old,UNKNOWN
MP20007304,4348,,
MP20007155,4349,,
MP20007430,4350,,
MP20007431,4351,Unknown,UNKNOWN
MP20007410,4352,,
MP20007479,4353,UNKNOWN,
MP20007522,4354,Unknown,UNKNOWN
MP20006383,4355,,
MP20007506,4356,20,MALE
MP20006577,4357,,
MP20007229,4358,,
MP20005990,4359,,
MP20004563,4360,UNKNOWN,UNKNOWN
MP20007661,4361,,UNKNOWN
MP20007643,4362,UKNOWN,UNKNOWN
MP20003907,4363,35,MALE
MP20003915,4364,,
MP20003916,4365,,
MP20004152,4366,,
MP20004208,4367,,
MP20005012,4368,,
MP20005785,4369,,
MP20008335,4370,Unknown,UNKNOWN
MP20008465,4371,Unknown,UNKNOWN
MP20008462,4372,,
MP20008455,4373,,
MP20008479,4374,,UNKNOWN
MP20008072,4375,UNKNOWN,MALE
MP20008521,4376,Unknown,UNKNOWN
MP20008643,4377,,
MP20008123,4378,,
MP20008750,4379,,
MP20008814,4380,Unknown,
MP20008855,4381,Unknown,MALE
MP20008855,4382,,MALE
MP20008996,4383,Unknown,UNKNOWN
MP20009052,4384,UNKNOWN,MALE
MP20009054,4385,UNKNOWN,MALE
MP20008332,4386,Unknown,UNKNOWN
MP20008782,4387,,
MP20008957,4388,,UNKNOWN
MP20009094,4389,,
MP20009163,4390,Unknown,UNKNOWN
MP20008973,4391,Unknown,UNKNOWN
MP20009183,4392,,MALE
MP20008986,4393,,UNKNOWN
MP20009138,4394,UNKNOWN,MALE
MP20009253,4395,,UNKNOWN
MP20009748,4396,,UNKNOWN
MP20009865,4397,,
MP20009911,4398,,UNKNOWN
MP20009941,4399,,
MP20009630,4400,,UNKNOWN
MP20010094,4401,Unknown,
MP20010201,4402,Unknown,
MP20009913,4403,Unknown,UNKNOWN
MP20010285,4404,,
MP20010249,4405,20,
MP20010370,4406,,UNKNOWN
MP20010416,4407,,
MP20010408,4408,,UNKNOWN
MP20002494,4409,,UNKNOWN
MP20002518,4410,UNKNOWN,UNKNOWN
MP19037565,4412,UNKNOWN,
MP19037555,4413,UNKNOWN,
MP20000042,4414,Unknown,UNKNOWN
MP20000015,4415,,
MP19037508,4416,UNKNOWN,UNKNOWN
MP19037120,4417,,
MP20000057,4418,UNKNOWN,UNKNOWN
MP20000030,4419,Unknown,UNKNOWN
MP19037403,4420,,
MP19037420,4421,,
MP20000044,4422,Unknown,UNKNOWN
MP20000164,4423,Unknown,
MP20000151,4424,,
MP20000010,4425,UNKNOWN,MALE
MP20000101,4426,,
MP20000186,4427,,FEMALE
MP20000186,4428,Unknown,FEMALE
MP20000086,4429,Unknown,UNKNOWN
MP19037545,4430,,
MP19037559,4431,,
MP20000040,4432,,
MP20000062,4433,13,
MP20000069,4434,,
MP19803372,4435,,
MP20000084,4436,,
MP19803376,4437,,
MP19803377,4438,,
MP19803380,4439,,
MP19803396,4440,,
MP20800004,4441,,
MP20800007,4442,,
MP20800009,4443,,
MP20800011,4444,,
MP20000095,4445,Unknown,MALE
MP19037552,4446,UNKNOWN,UNKNOWN
MP20000254,4447,,FEMALE
MP20000270,4448,Unknown,UNKNOWN
MP19037368,4449,,
MP20000033,4450,30,MALE
MP20000283,4451,,
MP20000188,4452,,
MP20000198,4453,,
MP20000201,4454,,
MP20000204,4455,,
MP20000208,4456,,
MP20000218,4457,,
MP20000266,4458,,
MP20000316,4459,,
MP20000390,4460,,
MP20000365,4461,UNKNOWN,UNKNOWN
MP20000382,4462,,
MP20000200,4463,UNKNOWN,
MP20000482,4464,,
MP20000476,4465,UNKNOWN,
MP20000462,4466,,
MP20000444,4467,UNKNOWN,MALE
MP20000418,4468,20,FEMALE
MP20000502,4469,20,MALE
MP20000368,4470,UNKNOWN,MALE
MP20000458,4471,UNKNOWN,UNKNOWN
MP20000511,4472,,
MP20000509,4473,UNKNOWN,UNKNOWN
MP20000324,4474,,
MP20000423,4475,,
MP20000452,4476,,
MP19037590,4477,,
MP20000364,4478,Unknown,MALE
MP20000339,4479,UNKNOWN,MALE
MP20000261,4480,,
MP20000499,4481,Unknown,UNKNOWN
MP20000597,4482,Unknown,UNKNOWN
MP20000564,4483,,
MP20000526,4484,20,FEMALE
MP20000402,4486,,
MP20000374,4487,,
MP20000690,4489,UNKNOWN,
MP20000751,4490,UNKNOWN,
MP20000609,4491,Unknown,UNKNOWN
MP20000508,4492,,
MP20000689,4493,,
MP20000655,4494,,
MP20000677,4495,Unknown,MALE
MP20000699,4496,,
MP20000732,4497,,
MP20000764,4498,,
MP20000702,4499,,
MP20000714,4500,,
MP20800046,4501,,
MP20000372,4502,Unknown,UNKNOWN
MP20800052,4503,,
MP20800071,4504,,
MP20800078,4505,,
MP20800079,4506,,
MP20800080,4507,,
MP20000839,4508,Unknown,UNKNOWN
MP20000767,4509,UNKNOWN,FEMALE
